gene_names	gene_ids	imputed.log2.LFQ.intensity.00h_1	imputed.log2.LFQ.intensity.00h_2	imputed.log2.LFQ.intensity.00h_3	imputed.log2.LFQ.intensity.00h_4	imputed.log2.LFQ.intensity.01h_1	imputed.log2.LFQ.intensity.01h_2	imputed.log2.LFQ.intensity.01h_3	imputed.log2.LFQ.intensity.01h_4	imputed.log2.LFQ.intensity.02h_1	imputed.log2.LFQ.intensity.02h_2	imputed.log2.LFQ.intensity.02h_3	imputed.log2.LFQ.intensity.02h_4	imputed.log2.LFQ.intensity.03h_1	imputed.log2.LFQ.intensity.03h_2	imputed.log2.LFQ.intensity.03h_3	imputed.log2.LFQ.intensity.03h_4	imputed.log2.LFQ.intensity.04h_1	imputed.log2.LFQ.intensity.04h_2	imputed.log2.LFQ.intensity.04h_3	imputed.log2.LFQ.intensity.04h_4	imputed.log2.LFQ.intensity.05h_1	imputed.log2.LFQ.intensity.05h_2	imputed.log2.LFQ.intensity.05h_3	imputed.log2.LFQ.intensity.05h_4	imputed.log2.LFQ.intensity.06h_1	imputed.log2.LFQ.intensity.06h_2	imputed.log2.LFQ.intensity.06h_3	imputed.log2.LFQ.intensity.06h_4	imputed.log2.LFQ.intensity.08h_1	imputed.log2.LFQ.intensity.08h_2	imputed.log2.LFQ.intensity.08h_3	imputed.log2.LFQ.intensity.08h_4	imputed.log2.LFQ.intensity.10h_1	imputed.log2.LFQ.intensity.10h_2	imputed.log2.LFQ.intensity.10h_3	imputed.log2.LFQ.intensity.10h_4	imputed.log2.LFQ.intensity.12h_1	imputed.log2.LFQ.intensity.12h_2	imputed.log2.LFQ.intensity.12h_3	imputed.log2.LFQ.intensity.12h_4	imputed.log2.LFQ.intensity.14h_1	imputed.log2.LFQ.intensity.14h_2	imputed.log2.LFQ.intensity.14h_3	imputed.log2.LFQ.intensity.14h_4	imputed.log2.LFQ.intensity.16h_1	imputed.log2.LFQ.intensity.16h_2	imputed.log2.LFQ.intensity.16h_3	imputed.log2.LFQ.intensity.16h_4	imputed.log2.LFQ.intensity.18h_1	imputed.log2.LFQ.intensity.18h_2	imputed.log2.LFQ.intensity.18h_3	imputed.log2.LFQ.intensity.18h_4	imputed.log2.LFQ.intensity.20h_1	imputed.log2.LFQ.intensity.20h_2	imputed.log2.LFQ.intensity.20h_3	imputed.log2.LFQ.intensity.20h_4
Pp2A-29B	FBgn0260439	33.05560908	32.9057501	32.86413398	32.82602637	33.00239391	33.02830019	33.20881237	32.6772639	32.99767458	33.04051767	33.07236639	32.7119853	33.54995407	33.88203334	33.80125879	33.50970535	33.58003851	33.81038585	33.62842745	33.51371055	33.87920551	33.77558773	33.54547311	33.71794031	33.78302483	33.62875335	33.83695557	33.63935906	33.84277328	33.78916086	33.43415178	33.49678968	33.87105596	33.47230204	33.79129746	33.64302046	33.50237301	33.47339119	33.56274563	33.30986343	33.283198	33.14274203	33.29789078	33.43128991	32.93329342	33.32589728	33.18580001	33.54869162	33.22230743	33.23620509	33.31998954	33.05636841	33.30266454	33.05945007	32.73809805	32.91612944
CG9577	FBgn0031092	32.73321631	32.7047696	32.7753915	32.64941632	32.69041637	32.80170207	32.51960385	32.99300727	32.597615	32.2521435	31.52000213	32.30277347	32.2351781	32.00728169	32.04706746	32.37171102	32.03360988	32.48423767	32.31254363	32.29200418	31.97127589	31.69523741	32.22478154	31.98138309	31.81665479	32.3112989	31.58320332	31.9836271	31.82449079	31.86610719	32.03108076	32.0901467	31.7604984	32.01388396	31.58145343	31.99819598	31.70161297	32.2022435	31.48294039	32.23469288	32.57310105	32.11262763	31.7105081	31.97913559	31.44909033	31.98542659	32.12651006	31.62353013	31.8442334	31.48452579	31.94889897	32.07367563	31.27752817	31.97055613	32.03462684	32.1471319
CG9578	FBgn0031094	22.50843561	22.24324805	22.58674752	22.13583493	22.39804998	22.35702186	22.05524083	22.34380022	22.62858402	21.28834588	22.6041014	22.03348448	26.61988883	27.03590364	26.79930382	27.1419964	26.15218874	26.61820916	27.04812047	27.01595179	26.48362281	26.62156654	26.3283617	27.49648018	26.55910245	26.75353384	26.25887869	26.78069214	26.74419514	26.36705858	25.99802377	26.78306777	26.73910663	26.59590918	27.34604241	26.70767256	25.63020379	25.845947	26.75327878	25.32604841	25.98030609	25.78191961	25.86808091	26.19892908	25.32611701	26.25125205	27.01648323	26.09706361	26.4170759	26.05814916	25.88574161	26.33893832	26.33439305	25.77407909	26.53023153	26.1343193
AnxB10	FBgn0000084	22.40244526	22.40286902	22.27846518	22.94886518	22.81437915	22.27414029	23.20079802	22.86754272	22.85711434	22.58390522	22.05695706	23.02340853	26.20394641	26.06970758	25.33037974	26.13142511	26.80968081	28.06594355	27.22284551	27.50933946	26.44952135	26.88564853	26.66776753	26.34707374	26.23970887	26.35984498	25.85265094	26.15160825	26.59177844	26.81334061	27.13418219	26.93840615	26.85428575	25.78364234	27.48223841	27.21886664	26.55340067	26.63588725	26.63436461	28.03123198	26.76635518	26.88634649	26.70252972	26.9183208	25.36158771	26.71947113	26.10777164	26.53366611	26.7693857	26.92942548	27.12750667	27.27779137	26.07612786	26.45301197	26.92315839	25.24816963
CG9581	FBgn0031093	31.76041908	31.91886812	32.02439177	32.00246098	31.71804241	32.09534402	31.82388369	32.17456399	31.87408307	31.90055928	31.33394115	32.03108076	31.61666774	31.22842743	31.1782498	31.4274236	31.46329117	31.37041239	31.50998844	31.26186926	31.46582281	31.09716652	31.48625334	31.23534932	30.99711934	31.42337157	30.85816108	31.20157182	31.23100557	31.04113808	31.10518325	31.09967653	30.88830771	30.95698501	30.57045695	31.16278975	31.12170189	31.46742713	30.86415244	31.0471975	31.32715626	30.99947344	31.00791655	31.23979382	31.06714961	31.30725967	31.10017801	31.01942916	30.56301849	30.60911205	30.95476847	31.22831274	30.74623114	31.15960559	31.12145489	31.29718019
Rab35	FBgn0031090	28.21252488	29.0793586	28.50373823	28.97426762	29.16283776	28.69829623	28.56670623	28.66824109	29.09727956	28.29140596	28.07321593	28.76528094	29.17752527	29.1716682	29.13508787	29.76641881	29.22527011	29.33342939	29.24968201	29.33890007	29.41675385	29.08570313	29.43318685	29.23867828	29.06958432	29.0398055	28.96732992	28.84750769	29.46618272	29.54449234	29.16300578	29.1823407	29.64813084	29.72746212	28.72991076	28.95029731	28.74230085	29.12708842	28.93733345	29.23093688	29.07671103	29.0857791	28.98882929	29.05035395	28.7174787	29.00608471	28.98307662	29.19178246	29.38205815	28.82623478	28.89296038	28.9335678	28.4854666	28.80143998	29.00790319	29.28389896
alpha-Cat	FBgn0010215	27.57434233	27.22435032	26.00433895	24.9788452	25.86495236	25.50014797	25.433358	26.80378171	28.62641395	29.47082433	28.26878905	29.55354715	30.25169217	30.21812633	31.12976802	30.94558904	30.83499856	30.83582685	30.80708756	30.82744675	31.23277894	30.8883803	31.10774172	30.88212447	31.17468303	31.21315092	31.05465532	31.17241952	30.93677204	31.41129832	31.10767937	31.26494758	31.30470561	31.6014723	31.05180645	31.4192579	31.24132911	31.23968003	31.33330142	31.23529225	31.02775662	30.8749625	31.06143112	31.11085567	30.76974825	30.90073921	31.13565058	30.96602366	30.71996065	30.59245584	31.25135357	30.93283601	31.13766718	30.87349649	30.90913471	31.03858944
CG32230	NA	31.91922341	32.20542243	32.38938547	32.30146576	32.68760359	31.87459614	32.61456315	32.2007537	32.91611164	32.3332481	31.55896566	32.65033688	31.70053855	32.06107699	32.45677125	31.80123952	31.84044901	32.14528037	32.23919632	31.64628632	31.46980601	30.90533767	31.93420781	31.40831477	31.27364324	31.67122262	31.41210635	31.38617632	31.88612842	31.28002011	31.50052221	31.37103588	31.60058647	31.40197325	31.37482296	31.84539296	31.88143175	31.58955685	31.3986646	31.41790082	31.50729689	31.23192113	31.71243637	31.6332649	32.14701056	31.65151348	31.81344728	31.88819883	31.12447779	31.0299297	31.665516	31.8658123	31.59370284	31.64843089	31.94632136	32.05112577
CkIIalpha	FBgn0264492	32.57192649	32.71329711	32.8132179	32.80280003	32.60516474	32.26086038	32.65027267	32.42584916	33.03966826	32.68693606	32.52787482	32.53885264	32.82816587	32.97360409	32.8591984	33.12321388	33.25363755	33.37891013	32.94660025	33.0912192	32.98175734	32.84344737	32.74181886	32.90902739	32.85166085	32.75930822	32.73527592	32.96702065	32.73567942	32.81455544	32.83311431	32.94132722	33.03710065	32.92777722	32.58477193	32.76682949	32.63709297	32.75760058	32.70740515	32.93808751	33.08739874	32.8232004	32.60324231	32.67187638	32.32678136	32.92528538	32.6205182	32.98104279	32.56667448	32.85180976	32.68476442	32.67967754	32.03144233	32.66407521	32.69873918	32.65589056
CG33217	FBgn0053217	28.28916456	28.09501698	28.02854721	27.97152943	27.16786984	27.15508766	28.4432817	28.1706897	28.48841945	29.27041635	29.5346756	28.82061615	29.148872	28.97037784	28.93834345	29.13970536	29.22621229	28.07168257	29.29598779	29.26733853	29.28953837	29.06779072	29.1336679	29.01746587	28.97481463	29.08719639	29.05087286	29.12455174	29.0245635	29.14143616	29.1894278	29.22593659	29.43805468	29.35789623	29.0372676	29.64364842	29.65911469	29.92337382	29.55448062	29.32898651	29.79533671	29.83566123	29.79830658	29.67290072	30.46577417	30.09773165	30.11743511	29.27828174	29.16853946	28.89029527	29.75047025	30.18316933	30.41719665	29.98901884	30.3659883	30.11755897
